,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
43,1.0939270496368407,0.09762372131857615,0.12791600227355956,0.02087646381236604,True,,gini,,log2,1,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8294573643410853,0.7984496124031008,0.8914728682170543,0.8294573643410853,0.8984375,0.8494549418604652,0.03890024931421946,306,0.9121328839672604,0.9133365430909967,0.9487241213288397,0.9150216658642273,0.9525324198678737,0.9283495268238395,0.01825342423262867,106,0.8428571428571429,0.8169014084507041,0.8955223880597015,0.8428571428571429,0.9022556390977443,0.8600787442644873,0.03314390375710365,303
138,0.3036044597625732,0.0055550796164235295,0.05660138130187988,0.004741141208127545,True,balanced,gini,,log2,1,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8372093023255814,0.8217054263565892,0.8837209302325582,0.8372093023255814,0.9140625,0.8587814922480621,0.03459282816753882,40,0.9068367838228214,0.9130958112662495,0.9475204622051036,0.9176697159364468,0.9564472718375336,0.928314009013631,0.019831964305147158,107,0.8489208633093526,0.8391608391608391,0.887218045112782,0.8489208633093526,0.9172932330827067,0.8683027687950066,0.029524301355373813,55
236,0.3119607925415039,0.10578060101348906,0.06409015655517578,0.022251588896202556,False,,gini,,log2,2,2,100,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8294573643410853,0.8062015503875969,0.8992248062015504,0.8449612403100775,0.8828125,0.852531492248062,0.03415667608037446,250,0.9198363023591718,0.909484833895041,0.9508907077515647,0.9171882522869522,0.9439686811842427,0.9282737554953945,0.01615524554719562,108,0.8428571428571429,0.8251748251748251,0.9037037037037037,0.8571428571428571,0.8854961832061069,0.8628749424169271,0.028402733051337798,219
154,0.3048111438751221,0.008346393094760127,0.052118873596191405,0.0017008361444937326,True,balanced,entropy,10,log2,1,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8449612403100775,0.8062015503875969,0.8992248062015504,0.8449612403100775,0.90625,0.8603197674418605,0.037479963799837306,24,0.9000962927298989,0.9111699566682715,0.9569090033702456,0.918873375060183,0.9542451676045999,0.9282587590866399,0.023105700759272648,109,0.8550724637681161,0.8201438848920863,0.9051094890510949,0.8571428571428571,0.9076923076923077,0.8690322005092923,0.03323393679775601,38
81,1.1013638019561767,0.10272617330769496,0.1204826831817627,0.013304409538337761,True,,entropy,,auto,1,2,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8294573643410853,0.8294573643410853,0.8837209302325582,0.8527131782945736,0.890625,0.8571947674418604,0.026000113323309766,95,0.9093644679826673,0.911049590755898,0.9575108329321137,0.9170678863745787,0.9462931245412283,0.9282571805172971,0.019795491871465683,110,0.8428571428571429,0.8450704225352113,0.887218045112782,0.8633093525179857,0.8923076923076922,0.8661525310661627,0.020606127330458263,110
199,0.5616090297698975,0.08254964187255356,0.07992539405822754,0.00995336396810454,False,,gini,10,auto,2,5,200,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8294573643410853,0.8062015503875969,0.8992248062015504,0.8372093023255814,0.890625,0.852543604651163,0.0361801839761398,227,0.9159845931632162,0.9130958112662494,0.9494463168030813,0.9130958112662494,0.9495962808906289,0.9282437626778851,0.01740509371756078,111,0.8428571428571429,0.8251748251748251,0.9037037037037037,0.851063829787234,0.8939393939393939,0.86334777909246,0.03030638066424581,201
163,0.6279130935668945,0.013458877370570027,0.07184844017028809,0.000865267127977509,True,balanced,entropy,20,auto,1,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8294573643410853,0.8062015503875969,0.8837209302325582,0.8449612403100775,0.8984375,0.8525557170542635,0.034106677531444494,222,0.9046701974000962,0.9150216658642273,0.9518536350505536,0.9155031295137216,0.9540004893564963,0.9282098234370191,0.020560592602207366,112,0.8428571428571429,0.8251748251748251,0.887218045112782,0.8571428571428571,0.8992248062015503,0.8623235352978316,0.027449032543387753,240
341,0.5840678215026855,0.011589250972300798,0.08114438056945801,0.0048141704931350966,False,balanced,entropy,10,auto,2,2,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8217054263565892,0.8062015503875969,0.8992248062015504,0.8294573643410853,0.875,0.8463178294573644,0.03498907432894576,368,0.9058738565238325,0.911651420317766,0.9540202214732788,0.9164660568127106,0.9530217763640813,0.9282066662983338,0.020941832734219623,113,0.8368794326241135,0.8251748251748251,0.9037037037037037,0.8405797101449274,0.8805970149253731,0.8573869373145886,0.029747643112386764,356
78,0.30126204490661623,0.004289510463178655,0.05225205421447754,0.00135342565574651,True,,entropy,20,log2,2,5,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8294573643410853,0.8372093023255814,0.8914728682170543,0.8449612403100775,0.90625,0.8618701550387596,0.030953349805648723,13,0.909484833895041,0.9133365430909967,0.9525758305247954,0.9130958112662494,0.9525324198678737,0.9282050877289914,0.019927689037627417,114,0.8428571428571429,0.851063829787234,0.8970588235294118,0.8550724637681161,0.9104477611940298,0.8713000042271869,0.027121562770645046,12
152,0.4091897487640381,0.13789052995525009,0.06147112846374512,0.022919931092127435,True,balanced,entropy,10,log2,1,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8294573643410853,0.8217054263565892,0.8992248062015504,0.8527131782945736,0.890625,0.8587451550387597,0.03137204998483821,66,0.9090033702455464,0.9109292248435243,0.9566682715454983,0.9121328839672604,0.9522877416197699,0.92820429844432,0.021520242446545667,115,0.8428571428571429,0.8391608391608391,0.9037037037037037,0.8633093525179857,0.8939393939393939,0.868594086435813,0.02619810893806073,46
