,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
246,0.5191967964172364,0.04290809149740234,0.0457768440246582,0.01262153458925439,False,,entropy,10,auto,2,5,100,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8596491228070176,0.8333333333333334,0.8407079646017699,0.8672566371681416,0.911504424778761,0.8624902965378048,0.027414498085036414,75,0.9280864197530864,0.8930662557781202,0.9180790960451977,0.9271814187068425,0.9579409918392969,0.9248708364245088,0.020818131680135497,122,0.8688524590163934,0.8527131782945736,0.8548387096774194,0.8717948717948718,0.9137931034482759,0.872398464446307,0.022010497927672002,88
144,0.5369087219238281,0.09242738364608655,0.05058622360229492,0.010011125973371348,True,balanced,entropy,10,auto,1,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8859649122807017,0.8245614035087719,0.8495575221238938,0.8672566371681416,0.8938053097345132,0.8642291569632045,0.025080450719015837,56,0.9345679012345679,0.8973805855161787,0.9149403640929065,0.9271814187068425,0.9502510985561833,0.9248642736213357,0.017876562995532252,123,0.894308943089431,0.846153846153846,0.8617886178861789,0.8717948717948718,0.8983050847457628,0.8744702727340181,0.019654379966008235,44
239,0.4804117202758789,0.010073922977160444,0.052404356002807614,0.0023521270461069744,False,,gini,,log2,2,5,200,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.868421052631579,0.8070175438596491,0.8495575221238938,0.8672566371681416,0.8938053097345132,0.8572116131035553,0.028787783423167915,249,0.9277777777777778,0.8964560862865947,0.916195856873823,0.9268675455116133,0.9569993722536096,0.9248593277406837,0.019633301317341305,124,0.8760330578512396,0.8307692307692307,0.8617886178861789,0.8717948717948718,0.8965517241379309,0.8673875004878904,0.021526577473655245,275
35,0.5971680641174316,0.0091116434565131,0.05199170112609863,0.0014952280252144184,True,,gini,,auto,1,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8859649122807017,0.8070175438596491,0.8495575221238938,0.8672566371681416,0.8849557522123894,0.8589504735289551,0.02919007877690921,230,0.9351851851851852,0.8933744221879816,0.9077212806026366,0.9278091650973007,0.9601381042059008,0.9248456314558009,0.02299968669658272,125,0.894308943089431,0.8307692307692307,0.859504132231405,0.8717948717948718,0.8869565217391304,0.8686667399248137,0.02245884454235392,231
15,0.5821753025054932,0.015480101614001564,0.052404594421386716,0.0013830609240117328,True,,gini,10,log2,2,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8157894736842105,0.8230088495575221,0.8761061946902655,0.911504424778761,0.86072038503338,0.03613318419437872,160,0.9287037037037037,0.899537750385208,0.9080351537978657,0.9290646578782171,0.9588826114249842,0.9248447754379958,0.020563472034425753,126,0.8852459016393444,0.8421052631578948,0.8360655737704918,0.8813559322033898,0.9152542372881356,0.8720053816118511,0.029390115874238766,99
116,0.29364809989929197,0.010052027897574463,0.03285384178161621,0.001639916875050362,True,balanced,gini,20,auto,2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8947368421052632,0.7982456140350878,0.831858407079646,0.8584070796460177,0.8938053097345132,0.8554106505201056,0.037019528240380704,316,0.937037037037037,0.8939907550077042,0.9121155053358443,0.9231010671688638,0.9579409918392969,0.9248370712777492,0.021730420606997015,127,0.9016393442622951,0.8296296296296296,0.8480000000000001,0.864406779661017,0.8965517241379309,0.8680454955381744,0.02768390376803684,248
1,1.0779286861419677,0.1615649243209702,0.08866696357727051,0.03842928262528491,True,,gini,10,auto,1,2,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8771929824561403,0.8070175438596491,0.8407079646017699,0.8672566371681416,0.9026548672566371,0.8589659990684677,0.032685387035332046,213,0.9262345679012346,0.8933744221879816,0.9143126177024483,0.931261770244821,0.9588826114249843,0.924813197892294,0.021461538242441985,128,0.8852459016393444,0.8333333333333333,0.8524590163934426,0.8717948717948718,0.9059829059829059,0.8697632058287794,0.0252280748273172,195
136,0.29431638717651365,0.012841522861571145,0.03235321044921875,0.0007958858053517337,True,balanced,gini,,log2,1,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8771929824561403,0.8157894736842105,0.8407079646017699,0.8495575221238938,0.8849557522123894,0.8536407390156807,0.025107711261716195,350,0.927932098765432,0.8919876733436055,0.9124293785310735,0.9339296924042687,0.9577840552416824,0.9248125796572124,0.02195809413930937,129,0.8852459016393444,0.8396946564885496,0.8524590163934426,0.8547008547008546,0.888888888888889,0.8641978636222161,0.019396223888366645,336
127,0.5679459571838379,0.00987750370791491,0.052187442779541016,0.002407864414007888,True,balanced,gini,20,log2,2,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8245614035087719,0.831858407079646,0.8672566371681416,0.9026548672566371,0.8607048594938673,0.02902776039669979,178,0.932716049382716,0.8933744221879815,0.911487758945386,0.9259259259259259,0.96045197740113,0.924791226768628,0.022359684065292117,130,0.8852459016393444,0.8484848484848484,0.8455284552845529,0.8717948717948718,0.9059829059829059,0.8714073966373046,0.02272568161150643,124
309,0.5323612213134765,0.010659482196378772,0.053261613845825194,0.0019305554429001617,False,balanced,gini,20,auto,2,2,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.868421052631579,0.8245614035087719,0.8495575221238938,0.8672566371681416,0.9026548672566371,0.8624902965378046,0.025600555432745014,79,0.9262345679012346,0.8933744221879816,0.9180790960451977,0.9259259259259259,0.9601381042059007,0.9247504232532482,0.021376774801830298,131,0.8760330578512396,0.846153846153846,0.8617886178861789,0.8695652173913044,0.9059829059829059,0.8719047290530948,0.01974478276189929,100
365,0.5381258010864258,0.01207956524299955,0.052230215072631835,0.0010746243829282153,False,balanced,entropy,20,log2,2,2,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.868421052631579,0.8157894736842105,0.8584070796460177,0.8761061946902655,0.911504424778761,0.8660456450861668,0.030846031564690454,12,0.9249999999999999,0.8906009244992297,0.92090395480226,0.9274952919020716,0.9595103578154425,0.9247021058038009,0.021894389943706568,132,0.8760330578512396,0.8396946564885496,0.8688524590163935,0.8793103448275862,0.9137931034482759,0.8755367243264089,0.02369544400005699,22
247,0.8202486991882324,0.23730115676750677,0.07503013610839844,0.027341933536095746,False,,entropy,10,auto,2,5,200,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.868421052631579,0.8157894736842105,0.8495575221238938,0.8761061946902655,0.8938053097345132,0.8607359105728923,0.026585826150513147,135,0.9228395061728395,0.8964560862865947,0.9193345888261142,0.9274952919020716,0.9573132454488388,0.9246877437272918,0.01950079188463347,133,0.8760330578512396,0.8396946564885496,0.8617886178861789,0.8793103448275862,0.8965517241379309,0.8706756802382971,0.01903487475759069,157
223,0.6851308345794678,0.22200224536434873,0.06328740119934081,0.019814953175533258,False,,gini,20,log2,2,5,200,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.868421052631579,0.8157894736842105,0.8584070796460177,0.8672566371681416,0.8938053097345132,0.8607359105728923,0.025380197348235982,135,0.9265432098765433,0.8933744221879815,0.9202762084118017,0.923728813559322,0.9595103578154426,0.9246866023702183,0.021056887219059284,134,0.8760330578512396,0.8372093023255813,0.8688524590163935,0.8717948717948718,0.8947368421052632,0.8697253066186699,0.01858870695423757,197
303,0.5084151744842529,0.010032020691423574,0.06256279945373536,0.020867603971609357,False,balanced,gini,10,log2,2,5,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.868421052631579,0.8070175438596491,0.8495575221238938,0.8761061946902655,0.8938053097345132,0.8589815246079802,0.029611221330122003,194,0.9274691358024691,0.8973805855161787,0.9105461393596986,0.9300062774639046,0.9579409918392969,0.9246686259963095,0.020432647842117877,135,0.8760330578512396,0.8307692307692307,0.8617886178861789,0.8793103448275862,0.8965517241379309,0.8688905950944333,0.02203815108840271,223
81,1.1245280742645263,0.11740359842975852,0.09526124000549316,0.023588223182674072,True,,entropy,,auto,1,2,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8771929824561403,0.8245614035087719,0.8584070796460177,0.8672566371681416,0.9026548672566371,0.8660145940071418,0.02547645948940717,20,0.9276234567901235,0.8950693374422187,0.914783427495292,0.9296924042686755,0.9560577526679221,0.9246452757328463,0.019965364772502114,136,0.8852459016393444,0.846153846153846,0.8688524590163935,0.8717948717948718,0.9059829059829059,0.8756059969174723,0.019714200470225453,19
383,0.6192416191101074,0.07532147713994718,0.05677647590637207,0.007535497963052662,False,balanced,entropy,,log2,2,5,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8596491228070176,0.8157894736842105,0.8672566371681416,0.8761061946902655,0.9026548672566371,0.8642912591212545,0.028263493127237645,34,0.9237654320987655,0.8930662557781202,0.9180790960451977,0.9281230382925298,0.9601381042059008,0.9246343852841028,0.02150794483088402,137,0.8666666666666667,0.8372093023255813,0.8760330578512397,0.8793103448275862,0.9059829059829059,0.873040455530796,0.022171914426734142,70
255,0.495712423324585,0.012931351899756869,0.05049676895141601,0.00040375909798719226,False,,entropy,10,log2,2,5,200,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.868421052631579,0.8070175438596491,0.8495575221238938,0.8584070796460177,0.911504424778761,0.8589815246079802,0.033577244784840324,194,0.9253086419753087,0.8924499229583974,0.9174513496547396,0.9290646578782171,0.9588826114249843,0.9246314367783294,0.021356303536519492,138,0.8760330578512396,0.8333333333333333,0.8617886178861789,0.864406779661017,0.9152542372881356,0.8701632052039809,0.02656074529940114,176
